"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Datetime
Iraq,2324384,161,25207,2,2296548,278,2629,27,55530,602,18457500,440950,41858482,Asia,18,1661,2,4.0,0.05,63.0,2022-04-25
Serbia,2002353,699,15960,4,1969132,0,17261,30,230857,1840,9439734,1088334,8673560,Europe,4,543,1,81.0,0.5,1990.0,2022-04-25
Bangladesh,1952583,27,29127,0,1893759,299,29697,1297,11646,174,13968195,83310,167664530,Asia,86,5756,12,0.2,0.0,177.0,2022-04-25
Hungary,1894278,3325,46101,53,1788191,11574,59986,40,196995,4794,11315178,1176718,9615875,Europe,5,209,1,346.0,6.0,6238.0,2022-04-25
Slovakia,1775178,370,19852,13,1731726,1014,23600,88,324860,3633,7059789,1291952,5464437,Europe,3,275,1,68.0,2.0,4319.0,2022-04-25
Jordan,1694216,0,14048,0,1678941,0,1227,124,163112,1352,16670254,1604946,10386802,Asia,6,739,1,0.0,0.0,118.0,2022-04-25
Georgia,1654313,58,16800,0,1636004,213,1509,0,416150,4226,16811448,4228994,3975283,Asia,2,237,0,15.0,0.0,380.0,2022-04-25
Pakistan,1527956,100,30369,0,1494141,143,3446,187,6682,133,28066952,122741,228667501,Asia,150,7530,8,0.4,0.0,15.0,2022-04-25
Ireland,1512812,1058,7016,20,1423678,7729,82118,43,300292,1393,12033762,2388695,5037798,Europe,3,718,0,210.0,4.0,16300.0,2022-04-25
Norway,1424180,551,2871,0,0,0,0,20,259031,522,11002430,2001130,5498109,Europe,4,1915,0,100.0,0.0,242330.0,2022-04-25
Kazakhstan,1305465,8,13660,0,1290997,9,808,24,68050,712,11575012,603370,19183944,Asia,15,1404,2,0.4,0.0,42.0,2022-04-25
Hong Kong,1202291,431,9267,18,0,0,0,115,158045,1218,44972952,5911837,7607272,Asia,6,821,0,57.0,2.0,155087.0,2022-04-25
Singapore,1184226,2058,1331,6,1115829,3067,67066,7,199574,224,23712995,3996275,5933774,Asia,5,4458,0,347.0,1.0,11302.0,2022-04-25
Morocco,1164717,17,16066,1,1148272,47,379,293,30891,426,11237010,298034,37703827,Africa,32,2347,3,0.5,0.03,10.0,2022-04-25
Bulgaria,1153506,377,36856,2,960286,693,156364,108,168306,5378,9803875,1430467,6853618,Europe,6,186,1,55.0,0.3,22815.0,2022-04-25
Croatia,1117822,87,15790,8,1098112,664,3920,24,275368,3890,4766333,1174156,4059368,Europe,4,257,1,21.0,2.0,966.0,2022-04-25
Cuba,1101968,237,8525,0,1092199,298,1244,23,97398,753,12920253,1141962,11314080,North America,10,1327,1,21.0,0.0,110.0,2022-04-25
Lebanon,1096462,56,10378,3,1079455,0,6629,186,161958,1533,4795578,708354,6770027,Asia,6,652,1,8.0,0.4,979.0,2022-04-25
Lithuania,1054881,261,9077,11,1017372,869,28432,31,397552,3421,8219492,3097672,2653442,Europe,3,292,0,98.0,4.0,10715.0,2022-04-25
Tunisia,1039532,0,28533,0,0,0,0,29,86319,2369,4563397,378930,12042858,Africa,12,422,3,0.0,0.0,-1064.12,2022-04-25
Slovenia,1004836,364,6582,4,981840,540,16414,30,483221,3165,2641294,1270185,2079456,Europe,2,316,1,175.0,2.0,7893.0,2022-04-25
Finland,1000472,0,3638,0,46000,0,950834,31,180060,655,10644579,1915758,5556328,Europe,6,1527,1,0.0,0.0,171126.0,2022-04-25
Nepal,978762,19,11951,0,966540,17,271,0,32531,397,5620394,186806,30086842,Asia,31,2518,5,0.6,0.0,9.0,2022-04-25
Belarus,977962,149,6928,2,928536,0,42498,0,103557,734,13108317,1388051,9443687,Europe,10,1363,1,16.0,0.2,4500.0,2022-04-25
Bolivia,904479,33,21908,0,855804,316,26767,220,75614,1832,2693845,225205,11961722,South America,13,546,4,3.0,0.0,2238.0,2022-04-25
UAE,897351,215,2302,0,880145,358,14904,0,88784,228,154699849,15306095,10107075,Asia,11,4391,0,21.0,0.0,1475.0,2022-04-25
Uruguay,895775,0,7197,0,886654,0,1924,18,256261,2059,6091188,1742550,3495560,South America,4,486,1,0.0,0.0,550.0,2022-04-25
New Zealand,890039,5750,644,8,830557,6285,58838,0,177933,129,6983031,1396020,5002100,Australia/Oceania,6,7767,1,1150.0,2.0,11763.0,2022-04-25
