"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Datetime
USA,83066907,24751,1020833,115,80684899,29374,1361175,1576,248295,3051,1005438148,3005356,334548810,North America,4,328,0,74.0,0.3,4069.0,2022-04-30
India,43079188,3324,523843,40,42536253,2876,19092,698,30666,373,837442023,596133,1404791509,Asia,33,2682,2,2.0,0.03,14.0,2022-04-30
Brazil,30448236,15194,663551,67,29519204,11647,265481,8318,141409,3082,63776166,296193,215319917,South America,7,324,3,71.0,0.3,1233.0,2022-04-30
France,28645285,49482,145930,61,26801506,107496,1697849,1677,437083,2227,266484045,4066138,65537387,Europe,2,449,0,755.0,0.9,25907.0,2022-04-30
Germany,24761600,57003,135900,106,22307900,80300,2317800,1446,293825,1613,122332384,1451613,84273389,Europe,3,620,1,676.0,1.0,27503.0,2022-04-30
UK,22038340,0,174912,0,21168267,0,695161,302,321551,2552,517337635,7548239,68537525,Europe,3,392,0,0.0,0.0,10143.0,2022-04-30
Russia,18182354,7363,375884,157,17539985,11022,266485,2300,124495,2574,273400000,1871977,146048781,Europe,8,389,1,50.0,1.0,1825.0,2022-04-30
S. Korea,17237878,43262,22794,70,0,0,0,490,335695,444,15804065,307773,51349793,Asia,3,2253,3,842.0,1.0,316371.0,2022-04-30
Italy,16464034,54436,163507,130,15070314,71625,1230213,366,273038,2712,213773683,3545204,60299411,Europe,4,369,0,903.0,2.0,20402.0,2022-04-30
Turkey,15032093,1772,98771,11,14927975,0,5347,975,174798,1149,159024414,1849185,85997034,Asia,6,871,1,21.0,0.1,62.0,2022-04-30
Spain,11896152,0,104456,0,11389694,0,402002,339,254257,2233,471036328,10067490,46787862,Europe,4,448,0,0.0,0.0,8592.0,2022-04-30
Vietnam,10649809,5109,43041,3,9262255,16727,1344513,475,107641,435,85798077,867185,98938645,Asia,9,2299,1,52.0,0.03,13589.0,2022-04-30
Argentina,9082649,1304,128640,16,8895999,0,58010,372,197649,2799,35716069,777223,45953458,South America,5,357,1,28.0,0.3,1262.0,2022-04-30
Netherlands,8047132,0,22243,0,7811564,0,213325,66,467744,1293,21107399,1226879,17204137,Europe,2,773,1,0.0,0.0,12400.0,2022-04-30
Japan,7850252,36403,29548,42,7402570,46281,418134,171,62418,235,48679214,387052,125769179,Asia,16,4256,3,289.0,0.3,3325.0,2022-04-30
Iran,7221653,532,141083,11,6983502,3019,97068,996,84015,1641,50914586,592327,85956910,Asia,12,609,2,6.0,0.1,1129.0,2022-04-30
Colombia,6092667,264,139797,4,5926476,460,26394,342,117452,2695,34465052,664403,51873698,South America,9,371,2,5.0,0.08,509.0,2022-04-30
Indonesia,6046796,329,156257,17,5882660,598,7879,2771,21688,560,95495775,342515,278807646,Asia,46,1784,3,1.0,0.06,28.0,2022-04-30
Poland,5996514,842,116059,17,5334680,61,545775,1321,158760,3073,36092285,955558,37770886,Europe,6,325,1,22.0,0.5,14450.0,2022-04-30
Australia,5928306,39258,7223,34,5591247,37502,329836,139,227658,277,69334180,2662563,26040394,Australia/Oceania,4,3605,0,1508.0,1.0,12666.0,2022-04-30
Mexico,5738769,958,324294,40,5038150,677,376325,4798,43672,2468,15801675,120249,131407522,North America,23,405,8,7.0,0.3,2864.0,2022-04-30
Ukraine,5001719,0,108391,0,0,0,0,177,115636,2506,19521252,451318,43253836,Europe,9,399,2,0.0,0.0,19312.0,2022-04-30
Malaysia,4448004,2107,35547,5,4366951,6890,45506,69,134285,1073,58730151,1773063,33123555,Asia,7,932,1,64.0,0.2,1374.0,2022-04-30
Thailand,4250949,12888,28529,126,4070856,17105,151564,1496,60624,407,17270775,246303,70119963,Asia,16,2458,4,184.0,2.0,2161.0,2022-04-30
Austria,4140543,5199,18156,18,4042540,7931,79847,87,454991,1995,183002443,20109531,9100284,Europe,2,501,0,571.0,2.0,8774.0,2022-04-30
Israel,4076111,1992,10695,0,4042243,3850,23173,220,437070,1147,41373364,4436346,9326000,Asia,2,872,0,214.0,0.0,2485.0,2022-04-30
Belgium,4056448,0,31439,0,3788323,0,236686,150,347246,2691,33531891,2870445,11681774,Europe,3,372,0,0.0,0.0,20261.0,2022-04-30
Czechia,3905100,1433,40155,8,3849141,4336,15804,29,363425,3737,55199677,5137111,10745277,Europe,3,268,0,133.0,0.7,1471.0,2022-04-30
Portugal,3853800,0,22280,0,0,0,0,61,379969,2197,41278379,4069884,10142397,Europe,3,455,0,0.0,0.0,94193.0,2022-04-30
South Africa,3791925,6527,100363,3,3648831,2590,42731,192,62496,1654,24475485,403388,60674734,Africa,16,605,2,108.0,0.05,704.0,2022-04-30
Canada,3749083,2799,39243,13,3454966,3158,254874,468,97768,1023,60871310,1587393,38346723,North America,10,977,1,73.0,0.3,6647.0,2022-04-30
Philippines,3685642,239,60341,36,3618137,1428,7164,289,32836,538,29565513,263401,112245459,Asia,30,1860,4,2.0,0.3,64.0,2022-04-30
Switzerland,3602489,0,13859,0,3459053,0,129577,87,410762,1580,20767523,2367950,8770255,Europe,2,633,0,0.0,0.0,14775.0,2022-04-30
Peru,3565253,695,212824,14,0,0,0,301,105447,6295,29846819,882758,33810892,South America,9,159,1,21.0,0.4,48261.0,2022-04-30
Chile,3558631,2298,57527,18,3413427,6497,87677,221,183284,2963,37001758,1905736,19415990,South America,5,338,1,118.0,0.9,4516.0,2022-04-30
Greece,3323922,6497,29153,39,3212923,3827,81846,239,321772,2822,79829956,7727931,10330055,Europe,3,354,0,629.0,4.0,7923.0,2022-04-30
Denmark,2966047,843,6158,9,2941761,1304,18128,13,508802,1056,127218115,21823284,5829467,Europe,2,947,0,145.0,2.0,3110.0,2022-04-30
Romania,2893876,887,65487,9,2606660,0,221729,198,152283,3446,22702071,1194639,19003285,Europe,7,290,1,47.0,0.5,11668.0,2022-04-30
Sweden,2500917,0,18739,0,2469149,1071,13029,21,244844,1835,18513445,1812500,10214317,Europe,4,545,1,0.0,0.0,1276.0,2022-04-30
Iraq,2325092,110,25211,0,2297747,201,2134,20,55530,602,18478198,441314,41870842,Asia,18,1661,2,3.0,0.0,51.0,2022-04-30
Serbia,2006353,521,15991,7,1975636,2889,14726,23,231331,1844,9487930,1093951,8673082,Europe,4,542,1,60.0,0.8,1698.0,2022-04-30
Bangladesh,1952691,17,29127,0,1895404,258,28160,1297,11645,174,13990466,83432,167686928,Asia,86,5757,12,0.1,0.0,168.0,2022-04-30
Hungary,1901017,0,46201,0,1804295,0,50521,41,197703,4805,11339446,1179283,9615541,Europe,5,208,1,0.0,0.0,5254.0,2022-04-30
Slovakia,1780955,933,19905,14,1743306,915,17744,70,325915,3643,7088924,1297275,5464473,Europe,3,275,1,171.0,3.0,3247.0,2022-04-30
Jordan,1694216,0,14048,0,1678941,0,1227,124,163091,1352,16670254,1604732,10388185,Asia,6,739,1,0.0,0.0,118.0,2022-04-30
Georgia,1655098,153,16807,0,1637037,237,1254,0,416358,4228,16908154,4253432,3975179,Asia,2,237,0,38.0,0.0,315.0,2022-04-30
Pakistan,1528412,65,30371,0,1494141,0,3900,131,6682,133,28156480,123101,228726193,Asia,150,7531,8,0.3,0.0,17.0,2022-04-30
Ireland,1517112,0,7087,0,1452338,5232,57687,37,301101,1407,12063637,2394267,5038551,Europe,3,711,0,0.0,0.0,11449.0,2022-04-30
Norway,1426013,204,2932,0,0,0,0,20,259337,533,11002430,2000919,5498688,Europe,4,1875,0,37.0,0.0,242627.0,2022-04-30
Kazakhstan,1305533,12,13660,0,1291066,11,807,24,68043,712,11575012,603273,19187011,Asia,15,1405,2,0.6,0.0,42.0,2022-04-30
Hong Kong,1204210,363,9308,10,0,0,0,115,158280,1223,44972952,5911192,7608102,Asia,6,817,0,48.0,1.0,155317.0,2022-04-30
Singapore,1197908,2141,1335,1,1132574,2562,63999,6,201858,225,23712995,3995852,5934402,Asia,5,4445,0,361.0,0.2,10784.0,2022-04-30
Morocco,1164953,46,16069,0,1148474,38,410,293,30893,426,11237010,297986,37709802,Africa,32,2347,3,1.0,0.0,11.0,2022-04-30
Bulgaria,1156729,263,36913,2,978145,41,141671,82,168794,5386,9848912,1437187,6852907,Europe,6,186,1,38.0,0.3,20673.0,2022-04-30
Croatia,1122459,797,15828,6,1100854,1032,5777,24,276534,3899,4786857,1179312,4059024,Europe,4,256,1,196.0,1.0,1423.0,2022-04-30
Cuba,1102941,191,8526,0,1093508,261,907,23,97485,754,12920253,1141972,11313986,North America,10,1327,1,17.0,0.0,80.0,2022-04-30
Lebanon,1096955,101,10386,2,1081770,378,4799,186,162041,1534,4795578,708398,6769612,Asia,6,652,1,15.0,0.3,709.0,2022-04-30
Lithuania,1058206,515,9094,2,1023740,1220,25372,35,398882,3428,8247311,3108759,2652927,Europe,3,292,0,194.0,0.8,9564.0,2022-04-30
Tunisia,1040193,0,28550,0,0,0,0,29,86362,2370,4572976,379672,12044547,Africa,12,422,3,0.0,0.0,-1198.22,2022-04-30
Finland,1023013,0,3939,0,46000,0,973074,24,184113,709,10720282,1929342,5556445,Europe,5,1411,1,0.0,0.0,175125.0,2022-04-30
Slovenia,1010078,968,6592,0,990337,1319,13149,23,485741,3170,2646122,1272504,2079460,Europe,2,315,1,466.0,0.0,6323.0,2022-04-30
Belarus,980345,436,6947,4,928536,0,44862,0,103810,736,13157373,1393252,9443645,Europe,10,1359,1,46.0,0.4,4750.0,2022-04-30
Nepal,978810,4,11951,0,966629,17,230,0,32525,397,5636303,187290,30094011,Asia,31,2518,5,0.1,0.0,8.0,2022-04-30
New Zealand,930969,7122,702,6,877888,7966,52379,0,186116,140,7078901,1415186,5002100,Australia/Oceania,5,7125,1,1424.0,1.0,10471.0,2022-04-30
Bolivia,904974,91,21919,5,858434,381,24621,220,75642,1832,2699040,225599,11963898,South America,13,546,4,8.0,0.4,2058.0,2022-04-30
UAE,898571,261,2302,0,881831,315,14438,0,88891,228,155925308,15424852,10108707,Asia,11,4391,0,26.0,0.0,1428.0,2022-04-30
Uruguay,895775,0,7197,0,886654,0,1924,18,256249,2059,6091188,1742468,3495724,South America,4,486,1,0.0,0.0,550.0,2022-04-30
Ecuador,869696,247,35598,4,0,0,0,759,47964,1963,2470170,136229,18132441,South America,21,509,7,14.0,0.2,21520.0,2022-04-30
Costa Rica,852074,0,8405,0,832853,0,10816,45,164522,1623,4291131,828547,5179102,North America,6,616,1,0.0,0.0,2088.0,2022-04-30
Guatemala,846546,678,17584,18,826602,621,2360,5,45708,949,4454022,240486,18520882,North America,22,1053,4,37.0,1.0,127.0,2022-04-30
Latvia,822013,0,5760,0,808909,0,7344,11,444785,3117,7174863,3882264,1848113,Europe,2,321,0,0.0,0.0,3974.0,2022-04-30
Azerbaijan,792562,4,9709,0,782761,17,92,0,76902,942,6814486,661206,10306140,Asia,13,1062,2,0.4,0.0,9.0,2022-04-30
Panama,776420,932,8184,0,762170,501,6066,8,174915,1844,5873370,1323177,4438839,North America,6,542,1,210.0,0.0,1367.0,2022-04-30
Saudi Arabia,754011,90,9088,2,741673,133,3250,45,21059,254,41892775,1170050,35804252,Asia,47,3940,1,3.0,0.06,91.0,2022-04-30
Sri Lanka,663362,33,16504,0,646125,4,733,0,30744,765,6486117,300599,21577281,Asia,33,1307,3,2.0,0.0,34.0,2022-04-30
Paraguay,649455,0,18870,0,624673,0,5912,2,89057,2588,2623300,359721,7292594,South America,11,386,3,0.0,0.0,811.0,2022-04-30
Kuwait,631409,0,2555,0,628090,0,764,8,143962,583,8007805,1825789,4385942,Asia,7,1717,1,0.0,0.0,174.0,2022-04-30
Myanmar,612883,19,19434,0,591812,18,1637,0,11128,353,7954939,144435,55076199,Asia,90,2834,7,0.3,0.0,30.0,2022-04-30
Palestine,581940,0,5353,0,576242,0,345,17,109429,1007,3078533,578892,5317979,Asia,9,993,2,0.0,0.0,65.0,2022-04-30
Dominican Republic,579248,0,4376,0,574601,0,271,6,52437,396,3274131,296391,11046649,North America,19,2524,3,0.0,0.0,25.0,2022-04-30
Estonia,572193,276,2539,1,511039,689,58615,3,430815,1912,3326696,2504731,1328165,Europe,2,523,0,208.0,0.8,44132.0,2022-04-30
Bahrain,568706,339,1475,0,563892,419,3339,3,314281,815,9721489,5372336,1809546,Asia,3,1227,0,187.0,0.0,1845.0,2022-04-30
Venezuela,522325,20,5709,1,515675,9,941,230,18464,202,3359014,118740,28288758,South America,54,4955,8,0.7,0.04,33.0,2022-04-30
Moldova,516986,0,11489,0,504142,0,1355,49,128705,2860,3216305,800706,4016836,Europe,8,350,1,0.0,0.0,337.0,2022-04-30
Egypt,515645,0,24613,0,442182,0,48850,122,4871,233,3693367,34889,105859726,Africa,205,4301,29,0.0,0.0,461.0,2022-04-30
Libya,501904,0,6430,0,490973,0,4501,101,71273,913,2477219,351779,7041981,Africa,14,1095,3,0.0,0.0,639.0,2022-04-30
Cyprus,474267,3786,1020,9,124370,0,348877,60,387658,834,9477138,7746456,1223416,Asia,3,1199,0,3095.0,7.0,285166.0,2022-04-30
Ethiopia,470568,18,7510,0,455383,3,7675,11,3916,62,4789701,39860,120163659,Africa,255,16000,25,0.1,0.0,64.0,2022-04-30
Mongolia,469885,55,2179,0,313256,0,154450,192,139237,646,4030048,1194186,3374724,Asia,7,1549,1,16.0,0.0,45767.0,2022-04-30
Honduras,423179,0,10893,0,132318,0,279968,105,41519,1069,1263329,123949,10192359,North America,24,936,8,0.0,0.0,27468.0,2022-04-30
Armenia,422867,2,8622,0,411050,12,3195,0,142219,2900,3051264,1026200,2973361,Asia,7,345,1,0.7,0.0,1075.0,2022-04-30
Oman,389126,0,4258,0,384243,0,625,4,72818,797,25000000,4678334,5343783,Asia,14,1255,0,0.0,0.0,117.0,2022-04-30
Bosnia and Herzegovina,377087,0,15765,0,192218,0,169104,0,116258,4860,1758191,542059,3243544,Europe,9,206,2,0.0,0.0,52136.0,2022-04-30
Réunion,374295,0,742,0,355605,0,17948,10,412680,818,1603660,1768122,906985,Africa,2,1222,1,0.0,0.0,19789.0,2022-04-30
Qatar,364602,42,677,0,363365,79,560,3,129853,241,3440937,1225490,2807805,Asia,8,4147,1,15.0,0.0,199.0,2022-04-30
Kenya,323773,13,5649,0,317960,28,164,0,5788,101,3598809,64340,55934385,Africa,173,9902,16,0.2,0.0,3.0,2022-04-30
Zambia,319702,108,3976,0,315044,354,682,0,16544,206,3427205,177355,19324023,Africa,60,4860,6,6.0,0.0,35.0,2022-04-30
North Macedonia,309571,0,9280,0,299738,0,553,0,148602,4455,2018029,968708,2083218,Europe,7,224,1,0.0,0.0,265.0,2022-04-30
Botswana,305859,0,2688,0,303026,0,145,1,125437,1102,2026898,831259,2438347,Africa,8,907,1,0.0,0.0,59.0,2022-04-30
Albania,275107,52,3496,0,271213,28,398,2,95787,1217,1806414,628962,2872057,Europe,10,822,2,18.0,0.0,139.0,2022-04-30
Algeria,265780,1,6875,0,178355,0,80550,6,5867,152,230861,5097,45297355,Africa,170,6589,196,0.02,0.0,1778.0,2022-04-30
Nigeria,255753,37,3143,0,249911,15,2699,11,1187,15,5075820,23557,215469401,Africa,842,68555,42,0.2,0.0,13.0,2022-04-30
Zimbabwe,247875,33,5469,0,241689,46,717,12,16245,358,2256453,147885,15258161,Africa,62,2790,7,2.0,0.0,47.0,2022-04-30
Uzbekistan,238596,19,1637,0,236670,20,289,23,6945,48,1377915,40108,34355279,Asia,144,20987,25,0.6,0.0,8.0,2022-04-30
Luxembourg,237856,0,1064,0,227197,0,9595,3,369009,1651,4227288,6558195,644581,Europe,3,606,0,0.0,0.0,14886.0,2022-04-30
Montenegro,235228,77,2714,0,231778,70,736,6,374441,4320,2452639,3904164,628211,Europe,3,231,0,123.0,0.0,1172.0,2022-04-30
Mozambique,225384,1,2201,0,223113,0,70,13,6860,67,1313202,39970,32854303,Africa,146,14927,25,0.03,0.0,2.0,2022-04-30
Laos,207469,273,744,1,7660,0,199065,0,27780,100,1232128,164978,7468418,Asia,36,10038,6,37.0,0.1,26654.0,2022-04-30
Kyrgyzstan,200992,0,2991,0,196400,0,1601,131,29906,445,1907195,283775,6720811,Asia,33,2247,4,0.0,0.0,238.0,2022-04-30
Iceland,185579,0,119,0,75685,0,109775,0,537460,345,1953616,5657916,345289,Europe,2,2902,0,0.0,0.0,317922.0,2022-04-30
Maldives,179171,0,298,0,163687,0,15186,25,321134,534,2213831,3967916,557933,Asia,3,1872,0,0.0,0.0,27218.0,2022-04-30
Afghanistan,178879,6,7683,0,161883,0,9313,1124,4414,190,944283,23299,40529420,Asia,227,5275,43,0.1,0.0,230.0,2022-04-30
Uganda,164069,0,3596,0,100205,0,60268,2,3391,74,2612795,54008,48378266,Africa,295,13453,19,0.0,0.0,1246.0,2022-04-30
El Salvador,162089,0,4128,0,150662,0,7299,8,24762,631,1950448,297960,6545998,North America,40,1586,3,0.0,0.0,1115.0,2022-04-30
Ghana,161173,0,1445,0,159691,0,37,1,4996,45,2435846,75512,32257533,Africa,200,22324,13,0.0,0.0,1.0,2022-04-30
Namibia,158733,84,4025,0,153662,0,1046,0,60471,1533,1007690,383889,2624953,Africa,17,652,3,32.0,0.0,398.0,2022-04-30
Martinique,153253,0,926,0,104,0,152223,8,408966,2471,828928,2212050,374733,North America,2,405,0,0.0,0.0,406217.0,2022-04-30
Trinidad and Tobago,147867,417,3829,5,135209,0,8829,18,105036,2720,704554,500476,1407768,North America,10,368,2,296.0,4.0,6272.0,2022-04-30
Brunei ,141850,102,218,0,140892,181,740,0,318670,490,717784,1612519,445132,Asia,3,2042,1,229.0,0.0,1662.0,2022-04-30
Guadeloupe,140130,0,854,0,2250,0,137026,19,350107,2134,938039,2343639,400249,North America,3,469,0,0.0,0.0,342352.0,2022-04-30
Cambodia,136251,5,3056,0,133073,23,122,0,7949,178,2952645,172250,17141647,Asia,126,5609,6,0.3,0.0,7.0,2022-04-30
Jamaica,129978,0,2962,0,83358,0,43658,0,43547,992,996159,333746,2984780,North America,23,1008,3,0.0,0.0,14627.0,2022-04-30
Rwanda,129806,7,1459,1,45522,0,82825,0,9588,108,5270395,389289,13538517,Africa,104,9279,3,0.5,0.07,6118.0,2022-04-30
Cameroon,119780,0,1927,0,117791,0,62,13,4316,69,1751774,63121,27752511,Africa,232,14402,16,0.0,0.0,2.0,2022-04-30
Taiwan,115870,15136,865,3,25975,0,89030,0,4849,36,14758774,617637,23895529,Asia,206,27625,2,633.0,0.1,3726.0,2022-04-30
Angola,99194,0,1900,0,97149,0,145,0,2856,55,1499795,43181,34732793,Africa,350,18280,23,0.0,0.0,4.0,2022-04-30
Malta,91741,136,698,0,87119,360,3924,4,206768,1573,1883103,4244177,443691,Europe,5,636,0,307.0,0.0,8844.0,2022-04-30
DRC,87023,0,1337,0,50930,0,34756,0,921,14,846704,8957,94532588,Africa,1086,70705,112,0.0,0.0,368.0,2022-04-30
Senegal,85997,2,1966,0,84015,2,16,0,4900,112,1069522,60943,17549622,Africa,204,8927,16,0.1,0.0,0.9,2022-04-30
Malawi,85781,0,2634,0,82066,0,1081,67,4282,131,574139,28660,20032595,Africa,234,7605,35,0.0,0.0,54.0,2022-04-30
Ivory Coast,81930,0,799,0,81097,0,34,0,2972,29,1500074,54408,27571076,Africa,337,34507,18,0.0,0.0,1.0,2022-04-30
French Guiana,80859,0,395,0,11254,0,69210,2,258485,1263,627211,2005028,312819,South America,4,792,0,0.0,0.0,221246.0,2022-04-30
Suriname,79336,0,1328,0,49401,0,28607,0,133062,2227,235950,395733,596235,South America,8,449,3,0.0,0.0,47979.0,2022-04-30
Channel Islands,74383,0,169,0,73224,0,990,0,420740,956,1252808,7086379,176791,Europe,2,1046,0,0.0,0.0,5600.0,2022-04-30
French Polynesia,72720,0,648,0,0,0,0,7,256169,2283,0,0,283875,Australia/Oceania,4,438,0,0.0,0.0,135877.0,2022-04-30
Eswatini,70643,17,1397,0,68860,37,386,11,59760,1182,1015212,858814,1182109,Africa,17,846,1,14.0,0.0,327.0,2022-04-30
Barbados,70080,518,394,2,65563,478,4123,0,243318,1368,649047,2253495,288018,North America,4,731,0,1798.0,7.0,14315.0,2022-04-30
Fiji,64634,0,862,0,62763,0,1009,0,71158,949,507722,558973,908313,Australia/Oceania,14,1054,2,0.0,0.0,1111.0,2022-04-30
Madagascar,64152,0,1391,0,59370,0,3391,14,2213,48,422372,14569,28990923,Africa,452,20842,69,0.0,0.0,117.0,2022-04-30
Guyana,63473,16,1228,0,62143,13,102,1,79993,1548,596356,751565,793486,South America,13,646,1,20.0,0.0,129.0,2022-04-30
Sudan,62117,0,4931,0,0,0,0,0,1359,108,562941,12313,45718917,Africa,736,9272,81,0.0,0.0,369.0,2022-04-30
New Caledonia,60517,0,312,0,60102,0,103,9,208312,1074,98964,340654,290512,Australia/Oceania,5,931,3,0.0,0.0,355.0,2022-04-30
Bhutan,59163,109,21,0,57748,428,1394,1,75163,27,2298106,2919602,787130,Asia,13,37482,0,138.0,0.0,1771.0,2022-04-30
Mauritania,58688,1,982,0,57695,1,11,0,12044,202,804074,165012,4872825,Africa,83,4962,6,0.2,0.0,2.0,2022-04-30
Belize,57497,0,676,0,56604,0,217,6,139959,1646,539513,1313284,410812,North America,7,608,1,0.0,0.0,528.0,2022-04-30
Cabo Verde,56022,2,401,0,55553,2,68,23,98801,707,400982,707176,567019,Africa,10,1414,1,4.0,0.0,120.0,2022-04-30
Syria,55813,0,3150,0,52159,0,504,0,3054,172,146269,8003,18276998,Asia,327,5802,125,0.0,0.0,28.0,2022-04-30
Gabon,47602,0,304,0,47285,0,13,0,20504,131,1593622,686421,2321641,Africa,49,7637,1,0.0,0.0,6.0,2022-04-30
Papua New Guinea,43800,0,649,0,43100,0,51,7,4732,70,249149,26916,9256576,Australia/Oceania,211,14263,37,0.0,0.0,6.0,2022-04-30
Seychelles,42474,0,166,0,41727,0,581,0,427050,1669,0,0,99459,Africa,2,599,0,0.0,0.0,5842.0,2022-04-30
Curaçao,42241,0,274,0,41612,0,355,3,255512,1657,496693,3004452,165319,North America,4,603,0,0.0,0.0,2147.0,2022-04-30
Andorra,41349,0,153,0,40689,0,507,14,533597,1974,249838,3224091,77491,Europe,2,506,0,0.0,0.0,6543.0,2022-04-30
Burundi,39998,0,38,0,773,0,39187,0,3190,3,345742,27577,12537365,Africa,313,329931,36,0.0,0.0,3126.0,2022-04-30
Mauritius,37642,0,990,0,35895,0,757,0,29509,776,358675,281176,1275624,Africa,34,1289,4,0.0,0.0,593.0,2022-04-30
Mayotte,37363,0,187,0,2964,0,34212,0,131174,657,176919,621128,284835,Africa,8,1523,2,0.0,0.0,120112.0,2022-04-30
Togo,36985,0,273,0,36688,0,24,0,4284,32,729891,84546,8633056,Africa,233,31623,12,0.0,0.0,3.0,2022-04-30
Guinea,36459,0,440,0,35976,0,43,8,2645,32,660107,47892,13783232,Africa,378,31326,21,0.0,0.0,3.0,2022-04-30
Aruba,34846,0,212,0,34516,0,118,3,323866,1970,177885,1653299,107594,North America,3,508,1,0.0,0.0,1097.0,2022-04-30
Faeroe Islands,34658,0,28,0,7693,0,26937,5,704402,569,778000,15812365,49202,Europe,1,1757,0,0.0,0.0,547478.0,2022-04-30
Tanzania,33872,0,803,0,0,0,0,7,539,13,0,0,62840781,Africa,1855,78258,0,0.0,0.0,523.0,2022-04-30
Bahamas,33558,17,798,9,32355,4,405,0,83872,1994,229817,574386,400109,North America,12,501,2,42.0,22.0,1012.0,2022-04-30
Lesotho,32910,0,697,0,24155,0,8058,0,15143,321,431221,198420,2173275,Africa,66,3118,5,0.0,0.0,3708.0,2022-04-30
Mali,30833,18,732,0,29893,3,208,0,1446,34,666574,31271,21315811,Africa,691,29120,32,0.8,0.0,10.0,2022-04-30
Haiti,30690,0,835,0,29520,0,335,0,2633,72,132422,11360,11656465,North America,380,13960,88,0.0,0.0,29.0,2022-04-30
Isle of Man,28416,0,87,0,26794,0,1535,0,330977,1013,150753,1755902,85855,Europe,3,987,1,0.0,0.0,17879.0,2022-04-30
Benin,26952,0,163,0,25506,0,1283,5,2122,13,604310,47572,12703024,Africa,471,77933,21,0.0,0.0,101.0,2022-04-30
Somalia,26485,0,1350,0,13182,0,11953,0,1586,81,400466,23976,16702834,Africa,631,12372,42,0.0,0.0,716.0,2022-04-30
Congo,24079,0,385,0,20178,0,3516,0,4176,67,347815,60321,5766111,Africa,239,14977,17,0.0,0.0,610.0,2022-04-30
Saint Lucia,23394,0,368,0,22815,0,211,0,126345,1987,143281,773823,185160,North America,8,503,1,0.0,0.0,1140.0,2022-04-30
Timor-Leste,22867,4,130,0,22723,1,14,0,16761,95,262493,192400,1364310,Asia,60,10495,5,3.0,0.0,10.0,2022-04-30
Cayman Islands,22223,0,27,0,8553,0,13643,1,331034,402,222773,3318432,67132,North America,3,2486,0,0.0,0.0,203226.0,2022-04-30
Burkina Faso,20853,0,382,0,20439,0,32,0,950,17,248995,11344,21949861,Africa,1053,57460,88,0.0,0.0,1.0,2022-04-30
Nicaragua,18491,0,225,0,4225,0,14041,0,2732,33,0,0,6768539,North America,366,30082,0,0.0,0.0,2074.0,2022-04-30
Gibraltar,17837,0,102,0,16579,0,1156,0,529712,3029,534283,15866807,33673,Europe,2,330,0,0.0,0.0,34330.0,2022-04-30
South Sudan,17461,0,138,0,13514,0,3809,1,1527,12,381528,33369,11433476,Africa,655,82851,30,0.0,0.0,333.0,2022-04-30
Tajikistan,17388,0,124,0,17264,0,0,0,1751,12,0,0,9928866,Asia,571,80072,0,0.0,0.0,0.0,2022-04-30
Liechtenstein,17185,14,84,0,16972,2,129,1,448367,2192,102174,2665780,38328,Europe,2,456,0,365.0,0.0,3366.0,2022-04-30
San Marino,16437,0,115,0,15960,0,362,4,482575,3376,149271,4382461,34061,Europe,2,296,0,0.0,0.0,10628.0,2022-04-30
Equatorial Guinea,15907,0,183,0,15698,0,26,5,10696,123,310972,209109,1487132,Africa,93,8126,5,0.0,0.0,17.0,2022-04-30
Djibouti,15611,0,189,0,15411,0,11,0,15392,186,303924,299655,1014246,Africa,65,5366,3,0.0,0.0,11.0,2022-04-30
Solomon Islands,14786,0,141,0,13307,0,1338,2,20604,196,5117,7130,717643,Australia/Oceania,49,5090,140,0.0,0.0,1864.0,2022-04-30
CAR,14649,0,113,0,6859,0,7677,2,2940,23,81294,16314,4983150,Africa,340,44099,61,0.0,0.0,1541.0,2022-04-30
Grenada,14629,0,220,0,14029,0,380,4,128917,1939,149943,1321363,113476,North America,8,516,1,0.0,0.0,3349.0,2022-04-30
Bermuda,13488,0,131,0,12981,0,376,0,218048,2118,876273,14165880,61858,North America,5,472,0,0.0,0.0,6078.0,2022-04-30
Dominica,12161,128,63,0,12025,96,73,0,168172,871,191084,2642457,72313,North America,6,1148,0,1770.0,0.0,1010.0,2022-04-30
Gambia,11995,0,365,0,11591,0,39,0,4721,144,155686,61278,2540633,Africa,212,6961,16,0.0,0.0,15.0,2022-04-30
Greenland,11971,0,21,0,2761,0,9189,4,210202,369,164926,2895979,56950,North America,5,2712,0,0.0,0.0,161352.0,2022-04-30
Yemen,11818,0,2149,0,9009,0,660,23,381,69,265253,8549,31025628,Asia,2625,14437,117,0.0,0.0,21.0,2022-04-30
Monaco,11770,8,54,0,11573,25,143,4,296101,1358,54960,1382642,39750,Europe,3,736,1,201.0,0.0,3597.0,2022-04-30
Saint Martin,10462,0,63,0,1399,0,9000,7,262403,1580,112382,2818711,39870,North America,4,633,0,0.0,0.0,225734.0,2022-04-30
Tonga,10196,0,11,0,8923,0,1262,0,94510,102,454376,4211748,107883,Australia/Oceania,11,9808,0,0.0,0.0,11698.0,2022-04-30
