"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Indonesia,6044467,317,156133,33,5875083,4664,13251,2771,21683,560,95024563,340873,278768157,Asia,46,1785,3,1.0,0.1,48.0
Poland,5991464,267,115948,0,5334380,6,541136,1588,158624,3070,36032893,953972,37771451,Europe,6,326,1,7.0,0.0,14327.0
Mexico,5733785,271,324129,12,5034427,535,375229,4798,43640,2467,15766174,119996,131389028,North America,23,405,8,2.0,0.09,2856.0
Australia,5720127,30750,7002,13,5353033,39811,360092,132,219698,269,68886938,2645798,26036353,Australia/Oceania,5,3718,0,1181.0,0.5,13830.0
Ukraine,4998517,224,108329,3,0,0,0,177,115553,2504,19521252,451281,43257407,Europe,9,399,2,5.0,0.07,19238.0
Malaysia,4433551,2478,35507,8,4330037,9215,68007,98,133872,1072,58425629,1764171,33117890,Asia,7,933,1,75.0,0.2,2053.0
Thailand,4180868,14994,27902,124,3978469,23524,174497,1496,59627,398,17270775,246312,70117577,Asia,17,2513,4,214.0,2.0,2489.0
Austria,4108970,4111,18054,7,3998778,8918,92138,124,451556,1984,181910461,19991077,9099583,Europe,2,504,0,452.0,0.8,10126.0
Israel,4062278,4506,10673,3,4022613,13461,28992,220,435586,1144,41373364,4436346,9326000,Asia,2,874,0,483.0,0.3,3109.0
Belgium,4036113,2645,31382,15,3739914,13457,264817,156,345525,2687,33531891,2870614,11681086,Europe,3,372,0,226.0,1.0,22671.0
Czechia,3896154,592,40100,5,3840761,2796,15293,42,362601,3732,55122500,5130057,10745007,Europe,3,268,0,55.0,0.5,1423.0
Portugal,3791744,0,22162,0,0,0,0,61,373836,2185,41038444,4046066,10142802,Europe,3,458,0,0.0,0.0,88083.0
South Africa,3764865,1954,100333,30,3634446,1149,30086,175,62060,1654,24332659,401102,60664519,Africa,16,605,2,32.0,0.5,496.0
Canada,3706887,7204,38847,64,3431944,2670,236096,471,96679,1013,60625588,1581171,38342208,North America,10,987,1,188.0,2.0,6158.0
Philippines,3684712,213,60194,12,3611879,1221,12639,289,32833,536,29446030,262383,112225532,Asia,30,1864,4,2.0,0.1,113.0
Switzerland,3600181,1480,13835,4,3395378,16871,190968,90,410539,1578,20666182,2356627,8769392,Europe,2,634,0,169.0,0.5,21777.0
Peru,3561677,801,212761,19,0,0,0,353,105361,6294,29673543,877796,33804616,South America,9,159,1,24.0,0.6,48167.0
Chile,3547977,1484,57376,1,3385643,7448,104958,263,182756,2955,36787580,1894924,19413751,South America,5,338,1,76.0,0.05,5406.0
Greece,3285970,8413,28933,66,3178081,26364,78956,279,318077,2801,79010158,7648059,10330747,Europe,3,357,0,814.0,6.0,7643.0
Denmark,2960882,910,6105,21,2932403,1686,22374,15,507941,1047,127159230,21814223,5829189,Europe,2,955,0,156.0,4.0,3838.0
Romania,2888639,321,65428,1,2606660,0,216551,221,151993,3443,22601950,1189262,19005028,Europe,7,290,1,17.0,0.05,11394.0
Sweden,2498388,0,18656,0,2465572,1151,14160,19,244617,1827,18493218,1810672,10213458,Europe,4,547,1,0.0,0.0,1386.0
Iraq,2324384,161,25207,2,2296548,278,2629,27,55530,602,18457500,440950,41858482,Asia,18,1661,2,4.0,0.05,63.0
Serbia,2002353,699,15960,4,1969132,0,17261,30,230857,1840,9439734,1088334,8673560,Europe,4,543,1,81.0,0.5,1990.0
Bangladesh,1952583,27,29127,0,1893759,299,29697,1297,11646,174,13968195,83310,167664530,Asia,86,5756,12,0.2,0.0,177.0
Hungary,1894278,3325,46101,53,1788191,11574,59986,40,196995,4794,11315178,1176718,9615875,Europe,5,209,1,346.0,6.0,6238.0
Slovakia,1775178,370,19852,13,1731726,1014,23600,88,324860,3633,7059789,1291952,5464437,Europe,3,275,1,68.0,2.0,4319.0
Jordan,1694216,0,14048,0,1678941,0,1227,124,163112,1352,16670254,1604946,10386802,Asia,6,739,1,0.0,0.0,118.0
Georgia,1654313,58,16800,0,1636004,213,1509,0,416150,4226,16811448,4228994,3975283,Asia,2,237,0,15.0,0.0,380.0
Pakistan,1527956,100,30369,0,1494141,143,3446,187,6682,133,28066952,122741,228667501,Asia,150,7530,8,0.4,0.0,15.0
